Batch_ID,Stage,Start_Time_Min,End_Time_Min,Duration_Min,Assigned_Machine
Сэндвич_batch_4,Комбинирование,555,576,21,combiner_1
Сэндвич_batch_1,Выпекание,558,580,22,
Булочка для хотдога штучно_batch_2,Формовка,564,575,11,former_0
Жайлы_batch_1,Остывание,564,624,60,
Семейный_batch_1,Комбинирование,564,585,21,combiner_0
Семейный_batch_2,Смешивание,564,574,10,mixer_1
Семейный_batch_3,Расстойка,564,589,25,
Багет новый_batch_4,Формовка,565,566,1,former_1
Багет новый_batch_4,Расстойка,566,591,25,
Плетенка_batch_1,Выпекание,568,585,17,
Семейный_batch_2,Формовка,574,585,11,former_1
Булочка для хотдога штучно_batch_2,Расстойка,575,600,25,
Булочка для гамбургера большой с кунжутом_batch_2,Комбинирование,576,597,21,combiner_1
Сэндвич_batch_4,Смешивание,576,586,10,mixer_1
Сэндвич_batch_10,Выпекание,579,601,22,
Сэндвич_batch_1,Остывание,580,625,45,
Булочка для гамбургера большой с кунжутом_batch_9,Комбинирование,585,606,21,combiner_0
Плетенка_batch_1,Остывание,585,645,60,
Семейный_batch_1,Смешивание,585,595,10,mixer_0
Семейный_batch_2,Расстойка,585,610,25,
Сэндвич_batch_4,Формовка,586,597,11,former_0
Семейный_batch_3,Выпекание,589,606,17,
Багет новый_batch_4,Выпекание,591,616,25,
Семейный_batch_1,Формовка,595,606,11,former_1
Булочка для гамбургера большой с кунжутом_batch_2,Смешивание,597,607,10,mixer_2
Булочка для гамбургера большой с кунжутом_batch_5,Комбинирование,597,618,21,combiner_1
Сэндвич_batch_4,Расстойка,597,622,25,
Булочка для хотдога штучно_batch_2,Выпекание,600,622,22,
Сэндвич_batch_10,Остывание,601,646,45,
Булочка для гамбургера большой с кунжутом_batch_12,Комбинирование,606,627,21,combiner_0
Семейный_batch_1,Расстойка,606,631,25,
Семейный_batch_3,Остывание,606,666,60,
Булочка для гамбургера большой с кунжутом_batch_2,Формовка,607,618,11,former_0
Булочка для гамбургера большой с кунжутом_batch_9,Смешивание,607,617,10,mixer_1
Семейный_batch_2,Выпекание,610,627,17,
Багет новый_batch_4,Остывание,616,691,75,
Булочка для гамбургера большой с кунжутом_batch_2,Расстойка,618,643,25,
Булочка для гамбургера большой с кунжутом_batch_5,Смешивание,618,628,10,mixer_2
Булочка для гамбургера большой с кунжутом_batch_9,Формовка,618,629,11,former_0
Сэндвич_batch_13,Комбинирование,618,639,21,combiner_1
Булочка для хотдога штучно_batch_2,Остывание,622,667,45,
Сэндвич_batch_4,Выпекание,622,644,22,
Булочка для гамбургера большой с кунжутом_batch_7,Комбинирование,627,648,21,combiner_0
Семейный_batch_2,Остывание,627,687,60,
Булочка для гамбургера большой с кунжутом_batch_12,Смешивание,628,638,10,mixer_2
Булочка для гамбургера большой с кунжутом_batch_5,Формовка,629,640,11,former_0
Булочка для гамбургера большой с кунжутом_batch_9,Расстойка,629,654,25,
Семейный_batch_1,Выпекание,631,648,17,
Булочка для гамбургера большой с кунжутом_batch_12,Формовка,638,649,11,former_1
Сэндвич_batch_13,Смешивание,639,649,10,mixer_2
Сэндвич_batch_2,Комбинирование,639,660,21,combiner_1
Булочка для гамбургера большой с кунжутом_batch_5,Расстойка,640,665,25,
Булочка для гамбургера большой с кунжутом_batch_2,Выпекание,643,665,22,
Сэндвич_batch_4,Остывание,644,689,45,
Семейный_batch_1,Остывание,648,708,60,
Сэндвич_batch_12,Комбинирование,648,669,21,combiner_0
Булочка для гамбургера большой с кунжутом_batch_12,Расстойка,649,674,25,
Булочка для гамбургера большой с кунжутом_batch_7,Смешивание,649,659,10,mixer_1
Сэндвич_batch_13,Формовка,649,660,11,former_1
Булочка для гамбургера большой с кунжутом_batch_9,Выпекание,654,676,22,
Булочка для гамбургера большой с кунжутом_batch_7,Формовка,660,671,11,former_1
Сэндвич_batch_13,Расстойка,660,685,25,
Сэндвич_batch_2,Смешивание,660,670,10,mixer_1
Сэндвич_batch_6,Комбинирование,660,681,21,combiner_1
Булочка для гамбургера большой с кунжутом_batch_2,Остывание,665,710,45,
Булочка для гамбургера большой с кунжутом_batch_5,Выпекание,665,687,22,
Сэндвич_batch_11,Комбинирование,669,690,21,combiner_0
Сэндвич_batch_12,Смешивание,669,679,10,mixer_2
Сэндвич_batch_2,Формовка,670,681,11,former_0
Булочка для гамбургера большой с кунжутом_batch_7,Расстойка,671,696,25,
Булочка для гамбургера большой с кунжутом_batch_12,Выпекание,674,696,22,
Булочка для гамбургера большой с кунжутом_batch_9,Остывание,676,721,45,
Сэндвич_batch_12,Формовка,679,690,11,former_1
Булочка для гамбургера большой с кунжутом_batch_10,Комбинирование,681,702,21,combiner_1
